N,P,alpha,seed,n_resolved,mean,median,std,iqr,min,max,gap,skewness,excess_kurtosis,path
4000,100,0.025,1013,100,0.3307980348493096,0.3313214164570936,0.013385141239501856,0.017193287414976277,0.2915085054891448,0.35653641435709227,0.06502790886794746,-0.5431864245458511,0.05151683398103568,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P100_s1013.npz
4000,100,0.025,1014,100,0.33448858465057874,0.3348594064518882,0.012132096664344066,0.014754051389978151,0.2957774951041977,0.3627668853488387,0.06698939024464101,-0.44321429872595636,0.4719899272657897,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P100_s1014.npz
4000,100,0.025,1015,100,0.3328113356017781,0.3322887951204172,0.014191795490302394,0.01771073571186882,0.29514204683085776,0.3623268135370411,0.06718476670618334,-0.09349726969040827,-0.18081152477668505,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P100_s1015.npz
4000,100,0.025,1016,100,0.3308431628736664,0.32978822970353294,0.015293655141178388,0.022677999907248392,0.288171061223787,0.368434069644304,0.08026300842051698,-0.1154819703230941,-0.15456759387688157,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P100_s1016.npz
4000,100,0.025,1017,100,0.3353818578656154,0.33658930530577497,0.012710644455909062,0.016781365609475574,0.29009255400746936,0.3713081375869529,0.08121558357948355,-0.23484492230008566,0.8425027884204184,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P100_s1017.npz
4000,100,0.025,1018,100,0.33346180579132034,0.3328776576244076,0.012880243136321674,0.017924265101112447,0.29847851627633015,0.370985614667029,0.07250709839069885,0.043850272758803176,0.3371331770238739,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P100_s1018.npz
4000,100,0.025,1019,100,0.33276417733282576,0.3317599957915145,0.01509481202943277,0.019870213489120325,0.2793782752011197,0.3705443166330923,0.0911660414319726,-0.49631162711127363,0.9076108748998735,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P100_s1019.npz
4000,100,0.025,1020,100,0.3318624916033091,0.33221493568373084,0.012889212478160083,0.01726483912991794,0.30515916986355207,0.36290701895277827,0.0577478490892262,0.09186350208425505,-0.32666646027967117,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P100_s1020.npz
4000,100,0.025,1021,100,0.33330054157258154,0.33230320070240305,0.01321201340797727,0.019651144667764464,0.3032637055519295,0.36042589333889674,0.057162187786967245,-0.05159867441829803,-0.5551974174369962,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P100_s1021.npz
4000,100,0.025,1022,100,0.3332869139006301,0.3330931167412807,0.012861776404466443,0.01760513967907751,0.30188373582027306,0.36878902111911893,0.06690528529884587,0.09655863878140684,-0.27899785317959847,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P100_s1022.npz
4000,100,0.025,1023,100,0.3326924551772244,0.33336704240901377,0.014589710623890818,0.018361904603514334,0.2788231296895635,0.36670770088776594,0.08788457119820242,-0.33248542254774266,1.0524295309896665,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P100_s1023.npz
4000,200,0.05,1000,200,0.2657589901132223,0.26698093492809594,0.018317707332953414,0.020014972145689702,0.16757925574885074,0.3053714856190292,0.13779222987017847,-0.969230723853836,3.4633707045782396,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P200_s1000.npz
4000,200,0.05,1001,200,0.2651769381434097,0.26713314205496824,0.019579025012148334,0.02147789905721792,0.14532738950841656,0.30372989667791794,0.15840250716950138,-2.058180510015031,10.00157799174422,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P200_s1001.npz
4000,200,0.05,1002,200,0.2687896485882735,0.2694162275260186,0.015533791150354232,0.01849297964024821,0.22799402436597538,0.317762099149138,0.08976807478316262,-0.08494493734000164,0.20250509957129736,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P200_s1002.npz
4000,200,0.05,1003,200,0.2677962961031654,0.2698318997878251,0.017278570354018873,0.02067221472213354,0.2034803905863833,0.30673032043765797,0.10324992985127468,-0.40927296475872815,0.4874634414584631,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N4000_P200_s1003.npz
