alpha,lambda,seed,P,trajectory_class,transitions,transition_rate,forward_fraction,reversal_fraction,tours,fixed_residual,periodic_closure,peak_analog_mean,binary_retrieval_mean,participation_mean,front_width_mean,quarter_1_transitions,quarter_2_transitions,quarter_3_transitions,quarter_4_transitions,trajectory_source,lyapunov_source,lyapunov_k,lyapunov_final,lyapunov_tail_250,lyapunov_status
0.09,0.4,44,180,strict_sequence,117,0.073125,1.0,0.0,0.65,0.042120948631064664,1.189664913517207,0.8560656821690179,0.930326,1.342604257837573,1.177488906943316,29,30,29,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p40_s44.npz,,,,,not_computed
0.09,0.4,45,180,strict_sequence,117,0.073125,1.0,0.0,0.65,0.04377226104554735,1.2041925090444634,0.8561395873626664,0.930029,1.339758144136574,1.1785513405412162,30,29,29,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p40_s45.npz,,,,,not_computed
0.09,0.4,46,180,strict_sequence,117,0.073125,1.0,0.0,0.65,0.030979572322580858,0.608783064862887,0.8565049821781251,0.929161,1.3446595227981921,1.175989000687457,30,29,29,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p40_s46.npz,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/lyapunov_N2000_a0p09_lam0p40_s46_k1.npz,1,-0.0030998140246329153,-0.0003634386578988822,no_positive_exponent_resolved
0.09,0.5,42,180,strict_sequence,131,0.081875,1.0,0.0,0.7277777777777777,0.043696666115576314,1.1916820484373674,0.8893931298355541,0.9522280000000001,1.2481882210205166,1.1301793637897632,33,32,33,33,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p50_s42.npz,,,,,not_computed
0.09,0.5,43,180,strict_sequence,131,0.081875,1.0,0.0,0.7277777777777777,0.04785329372382606,1.2125410833209413,0.8892657151528794,0.952207,1.247294585673157,1.1298043872257983,33,32,33,33,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p50_s43.npz,,,,,not_computed
0.09,0.5,44,180,strict_sequence,131,0.081875,1.0,0.0,0.7277777777777777,0.044154308054700095,1.1789007538919993,0.8896767458928221,0.9529770000000001,1.2459785059791955,1.1307418286357103,33,32,33,33,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p50_s44.npz,,,,,not_computed
0.09,0.5,45,180,strict_sequence,131,0.081875,1.0,0.0,0.7277777777777777,0.04672066408544274,1.2180103568536649,0.889621513296427,0.9531219999999999,1.2453375363979695,1.1310543091056808,33,32,33,33,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p50_s45.npz,,,,,not_computed
0.09,0.5,46,180,strict_sequence,131,0.081875,1.0,0.0,0.7277777777777777,0.05082613453419693,1.218638970487175,0.8891321529207685,0.950816,1.249108510269051,1.1310543091056808,33,32,33,33,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p50_s46.npz,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/lyapunov_N2000_a0p09_lam0p50_s46_k1.npz,1,-0.00429654423659535,0.0012017640603222545,no_positive_exponent_resolved
0.09,0.7,42,180,strict_sequence,142,0.08875,1.0,0.0,0.7888888888888889,0.07666752475932592,1.192242384041598,0.9170730558272113,0.9685360000000001,1.1828941684367709,1.0896193987875757,36,35,36,35,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p70_s42.npz,,,,,not_computed
0.09,0.7,43,180,strict_sequence,142,0.08875,1.0,0.0,0.7888888888888889,0.07598197151423845,1.1907422545147492,0.9170000258669768,0.970643,1.1824384124657135,1.0889944378476346,36,35,36,35,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p70_s43.npz,,,,,not_computed
0.09,0.7,44,180,strict_sequence,142,0.08875,1.0,0.0,0.7888888888888889,0.07613007808583802,1.1847739049827364,0.917428073807934,0.968828,1.1802995818438216,1.0895569026935816,36,35,36,35,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p70_s44.npz,,,,,not_computed
0.09,0.7,45,180,strict_sequence,142,0.08875,1.0,0.0,0.7888888888888889,0.08019260116607548,1.1811783555004556,0.9172595350574942,0.9706089999999999,1.1815661400262973,1.0894319105055934,36,35,36,35,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p70_s45.npz,,,,,not_computed
0.09,0.7,46,180,strict_sequence,142,0.08875,1.0,0.0,0.7888888888888889,0.07793568225771205,1.1580503995246008,0.916941663914161,0.967778,1.1834195299942065,1.0903068558215112,36,35,36,35,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p70_s46.npz,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/lyapunov_N2000_a0p09_lam0p70_s46_k1.npz,1,-0.0047696722981836965,0.000968366148975265,no_positive_exponent_resolved
0.09,0.9,42,180,strict_sequence,147,0.091875,1.0,0.0,0.8166666666666667,0.05285045972275186,0.6870701440731518,0.9273535157840905,0.9770440000000001,1.1779156262764088,1.0731829260671208,37,37,37,36,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p90_s42.npz,,,,,not_computed
0.09,0.9,43,180,strict_sequence,147,0.091875,1.0,0.0,0.8166666666666667,0.0536466935692843,0.8659566868294797,0.9272560576779193,0.9775819999999998,1.1778333605151472,1.0721829885632148,37,37,37,36,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p90_s43.npz,,,,,not_computed
0.09,0.9,44,180,strict_sequence,148,0.0925,1.0,0.0,0.8222222222222222,0.08666289141559975,1.1218944854050223,0.927494729540596,0.9770840000000001,1.1752990734098212,1.0730579338791326,37,37,37,37,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p90_s44.npz,,,,,not_computed
0.09,0.9,45,180,strict_sequence,148,0.0925,1.0,0.0,0.8222222222222222,0.06852310414143199,0.9286838302947134,0.9274761274454625,0.9776309999999999,1.1771375656728935,1.072245484657209,37,37,37,37,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p90_s45.npz,,,,,not_computed
